term,definition,type,occurrences
continental shelf,,Semantic Web for Earth and Environment Technology Ontology.json,1
continental slope,,Semantic Web for Earth and Environment Technology Ontology.json,1
deep ocean basin,,Semantic Web for Earth and Environment Technology Ontology.json,1
guyot,,Semantic Web for Earth and Environment Technology Ontology.json,1
hydrothermal vent,"A hydrothermal vent is a fissure in a planet's surface from which geothermally heated water issues. Hydrothermal vents are commonly found near volcanically active places, areas where tectonic plates are moving apart, ocean basins, and hotspots.",Semantic Web for Earth and Environment Technology Ontology.json,1
mid ocean ridge,"A mid-ocean ridge or mid-oceanic ridge is an underwater mountain range, formed by plate tectonics. This uplifting of the ocean floor occurs when convection currents rise in the mantle beneath the oceanic crust and create magma where two tectonic plates meet at a divergent boundary. The mid-ocean ridges of the world are connected and form a single global mid-oceanic ridge system that is part of every ocean, making the mid-oceanic ridge system the longest mountain range in the world.",Semantic Web for Earth and Environment Technology Ontology.json,1
ocean floor,,Semantic Web for Earth and Environment Technology Ontology.json,1
oceanic plateau,,Semantic Web for Earth and Environment Technology Ontology.json,1
reef,"In nautical terminology, a reef is a rock, sandbar, or other feature lying beneath the surface of the water yet shallow enough to be a hazard to ships. Many reefs result from abiotic processes—deposition of sand, wave erosion planning down rock outcrops, and other natural processes—but the best-known reefs are the coral reefs of tropical waters developed through biotic processes dominated by corals and calcareous algae",Semantic Web for Earth and Environment Technology Ontology.json,1
submarine canyon,"A submarine canyon is a steep-sided valley on the sea floor of the continental slope. Many submarine canyons are found as extensions to large rivers; however there are many that have no such association. Canyons cutting the continental slopes have been found at depths greater than 2 km below sea level. They are formed by powerful turbidity currents, volcanic and earthquake activity. Many submarine canyons continue as submarine channels across continental rise areas and may extend for hundreds of kilometers.",Semantic Web for Earth and Environment Technology Ontology.json,1
deep sea trench,,Semantic Web for Earth and Environment Technology Ontology.json,1
seabed,,Semantic Web for Earth and Environment Technology Ontology.json,1
seamount,"A seamount is a mountain rising from the ocean seafloor that does not reach to the water's surface (sea level), and thus is not an island. These are typically formed from extinct volcanoes, that rise abruptly and are usually found rising from a seafloor of 1,000 - 4,000 meters depth. They are defined by oceanographers as independent features that rise to at least 1,000 meters above the seafloor. The peaks are often found hundreds to thousands of meters below the surface, and are therefore considered to be within the deep sea.[1] An estimated 30,000 seamounts occur across the globe, with only a few having been studied. However, some seamounts are also unusual.",Semantic Web for Earth and Environment Technology Ontology.json,1
ocean ridge,,Semantic Web for Earth and Environment Technology Ontology.json,1
sea floor,,Semantic Web for Earth and Environment Technology Ontology.json,1
austral,,Semantic Web for Earth and Environment Technology Ontology.json,1
borealis,,Semantic Web for Earth and Environment Technology Ontology.json,1
equatorial,,Semantic Web for Earth and Environment Technology Ontology.json,1
mid latitude,,Semantic Web for Earth and Environment Technology Ontology.json,1
northern hemisphere,,Semantic Web for Earth and Environment Technology Ontology.json,1
pole,,Semantic Web for Earth and Environment Technology Ontology.json,1
southern hemisphere,,Semantic Web for Earth and Environment Technology Ontology.json,1
subtropical,,Semantic Web for Earth and Environment Technology Ontology.json,1
tropical,,Semantic Web for Earth and Environment Technology Ontology.json,1
degrees,,Semantic Web for Earth and Environment Technology Ontology.json,1
a horizon,,Semantic Web for Earth and Environment Technology Ontology.json,1
alfisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
andisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
aridisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
b horizon,,Semantic Web for Earth and Environment Technology Ontology.json,1
c horizon,,Semantic Web for Earth and Environment Technology Ontology.json,1
entisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
ground,,Semantic Web for Earth and Environment Technology Ontology.json,1
histisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
inceptisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
mollisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
o horizon,,Semantic Web for Earth and Environment Technology Ontology.json,1
oxisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
paleosol,,Semantic Web for Earth and Environment Technology Ontology.json,1
soil horizon,,Semantic Web for Earth and Environment Technology Ontology.json,1
spodosol,,Semantic Web for Earth and Environment Technology Ontology.json,1
substrata,,Semantic Web for Earth and Environment Technology Ontology.json,1
surface soil,,Semantic Web for Earth and Environment Technology Ontology.json,1
talik,,Semantic Web for Earth and Environment Technology Ontology.json,1
ultisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
vertisol,,Semantic Web for Earth and Environment Technology Ontology.json,1
gelisol,"Gelisols are soils of very cold climates which are defined as containing permafrost within two metres of the soil surface. The word Gelisol comes from the Latin gelare meaning to freeze, a reference to the process of cryoturbation that occurs from the alternating thawing and freezing characteristic of Gelisols.",Semantic Web for Earth and Environment Technology Ontology.json,1
organic matter,,Semantic Web for Earth and Environment Technology Ontology.json,1
p horizon,,Semantic Web for Earth and Environment Technology Ontology.json,1
substratum,,Semantic Web for Earth and Environment Technology Ontology.json,1
parent rock,,Semantic Web for Earth and Environment Technology Ontology.json,1
permafrost,,Semantic Web for Earth and Environment Technology Ontology.json,1
subsoil,,Semantic Web for Earth and Environment Technology Ontology.json,1
topsoil,,Semantic Web for Earth and Environment Technology Ontology.json,1
soil layer,,Semantic Web for Earth and Environment Technology Ontology.json,1
soil order,,Semantic Web for Earth and Environment Technology Ontology.json,1
atomic mass,,Semantic Web for Earth and Environment Technology Ontology.json,1
has atoms,,Semantic Web for Earth and Environment Technology Ontology.json,1
